behavior	donor_sha	donor_file	donor_symbol	local_owner	keep/adapt/reject	incompatibility	tortoise_replacement
Chimera/Kill/Steady/Explosive/Black Arrow/Silencing/Misdirection/Dragonhawk/Viper-aspect	mod-playerbots (WotLK)	Ai/Class/Hunter	various	none	reject	no Tortoise DBC/script/SQL evidence	must not port by name
Mutilate/Hunger for Blood/Fan of Knives/Killing Spree/Tricks/Cloak/Deadly Throw	mod-playerbots (WotLK)	Ai/Class/Rogue	various	none	reject	post-vanilla, no Tortoise rows	must not port by name
Dark Harvest channel pattern	TortoiseBots#92 (RainOfFireChannelCheckTrigger)	warlock triggers	channel check	WarlockTriggers.h/.cpp	adapt	start needs 2+ DoTs (CD refund on death inverts cancel logic)	dying targets keep channeling
Power Overwhelming pet targeting	tortoise-wow	spell_warlock.cpp:1722-1737	pet fallback	WarlockActions.h	adapt	core falls back to pet only when untargeted	action targets pet explicitly
Holy Shock split	tortoise-wow	spell_paladin.cpp + shyalya mirror	dual heal/damage	existing split	keep	none	callers must pair trigger target with matching action
Exorcism correctness	tortoise-wow	CheckCast (undead/demon-only)	mana-only gate	PaladinTriggers.cpp	adapt	vanilla-correct gating, conservative vs players	Art of War OR creature type
Bear/Cat NEW stack	mod-playerbots@5397110 forward-port	NEW Bear/Cat/Resto files	none	none	reject (unwired)	editing NEW files is runtime no-op until context wiring lands	stay on OLD stack
Eclipse IDs	tortoise-wow	spell_druid.cpp:860-907	51442/51443/51444	BalanceDruidStrategy	keep	donor solar/lunar IDs must not port	OLD triggers already correct
Savage Bite	none (no Tortoise evidence)	—	none	none	reject	likely Savage Roar confusion	do not implement
Tree of Life form	tortoise-wow	spell_druid.cpp:570+	45705	none	defer	form-restriction audit first	unresolved
Earthquake splash	tortoise-wow	spell_shaman.cpp:1495-1544	primary-safe splash	ElementalShamanStrategy	adapt	density triggers carry CC safety	medium-aoe HIGH+1
Spirit Link tank pair	TortoiseBots local	earth-shield tank pair	BuffOnTank pair	ShamanActions/Triggers	adapt	group dupe guard mirrored	tank recipient
Ancestral Swiftness pairing	tortoise-wow	DBC (no script)	next-spell instant	ShamanStrategies	adapt	aura persists until consumed	TwoTriggers consumer into HW
Bloodlust local semantics	tortoise-wow	DBC (no script)	self frenzy + party proc	EnhancementShamanStrategy	adapt	not Wrath haste; was registered-never-wired	legacy boost HIGH
Heroism/Totem of Wrath/Lava Burst/Maelstrom/Riptide/Wind Shear	mod-playerbots (Wrath)	various	none	none	reject	no Tortoise evidence	must not port by name
Envenom upkeep	TortoiseBots local slice-and-dice trigger	NoBuff+CP trigger	SliceAndDiceTrigger	RogueTriggers.h	adapt	maintenance slot beside slice, CP-scaled duration	Assassination HIGH+1
Shadow of Death slot	tortoise-wow spell_rogue.cpp:559-619	CP snapshot + banked detonate	ShadowOfDeathTrigger	RogueTriggers.cpp	adapt	5CP + durable-target gate	Subtlety HIGH+1
Mark for Death opener	tortoise-wow spell_rogue.cpp:202-233	party AP buff	MarkForDeathTrigger	RogueTriggers.cpp	adapt	fresh-target gate	Subtlety HIGH
Smoke Bomb defensive	tortoise-wow DBC (no script)	self miss-cloud	critical health (generic)	SubtletyRogueStrategy	adapt	DBC-only, spec-scoped defensive	Subtlety EMERGENCY
Ascendance Holy capstone	Talent.dbc talent-200 link + template row	Holy capstone	AscendanceTrigger	PriestTriggers.h	adapt	no script needed, DBC-driven	Holy boost HIGH
