class	tree/role	root_spell	ranks	name	acquisition	active/passive/triggered	effective_source	required_talent/equip/form/target	action	trigger	situation_strategy	disposition	reason	test_id	validation
Mage	all	-	-	Counterspell / Polymorph / Remove Curse / Wards / Armor	trainer	active	base spells	none	utility kit	utility triggers	mage cure/cc/buff	automatic	Polymorph turtle/pig variants	mage-census	implemented-unverified
Mage	all	-	-	Blink / Ice Block / Mana Shield / Ice Barrier / Evocation	trainer	active	base spells	none	defensive + recovery	critical/low triggers	mage combat	automatic	evocation cancel-check batch5	mage-census	implemented-unverified
Mage	all	-	-	Conjure Food/Water/Gem + Mana Gem use	trainer	active	classic ranks only	none	conjure + use	no-item triggers	mage noncombat/combat	automatic	TBC ranks correctly omitted	mage-census	implemented-unverified
Mage	Fire	-	-	Pyroblast / Combustion / Blast Wave	trainer+talent	active	spell_mage combustion	none	pyro / combustion / wave	boost triggers	fire combat+boost	automatic	PoM-pyro pairing	mage-census	implemented-unverified
Mage	Frost	-	-	Cone of Cold / Frost Nova / Blizzard	trainer	active	base spells	none	aoe kit	aoe triggers	frost aoe	automatic	blizzard 10s gate	mage-census	implemented-unverified
Rogue	all	-	-	Sinister Strike / Eviscerate / Slice and Dice / Rupture	trainer	active	base spells	combo points	generators + finishers	combo triggers	rogue combat	automatic	CP<5 gate + thresholds	rogue-census	implemented-unverified
Rogue	all	-	-	Kick / Sap / Gouge / Blind / Kidney / Vanish / Sprint / Feint	trainer	active	base spells	none	control + defensive	kick/cc triggers	rogue cc+combat	automatic	no energy reserve (follow-up)	rogue-census	implemented-unverified
Rogue	Subtlety	-	-	Hemorrhage / Ghostly Strike / Backstab	trainer	active	base spells	behind position	hemorrhage / backstab / ghostly strike	backstab node fallback	subtlety combat	automatic	CP<5 gate; backstab falls back to sinister	rogue-census	implemented-unverified
Rogue	all	-	-	Poisons (instant/deadly/mind/crippling/wound)	trainer	active	vanilla item IDs	none	apply poison	per-hand enchant triggers	rogue poisons	automatic	Tortoise item parity unverified (follow-up)	rogue-census	implemented-unverified
Hunter	all	-	-	Auto/Aimed/Arcane/Multi/Volley + Stings/Mark	trainer	active	base spells	ranged	shot kit	shot triggers	hunter combat+aoe	automatic	MM proc ordering follow-up	hunter-census	implemented-unverified
Hunter	all	-	-	Raptor / Wing Clip / Mongoose / Counterattack	trainer	active	base spells	melee	melee kit	close triggers	hunter combat	automatic	8yd switching	hunter-census	implemented-unverified
Hunter	all	-	-	Aspects (hawk/monkey/cheetah/pack/beast/wild)	trainer	active	base spells	none	aspect kit	aspect triggers	hunter buff	automatic/situational	hawk auto; wolf/viper missing	hunter-census	implemented-unverified
Hunter	all	-	-	Traps x4 + Feign Death + Flare + Tranquilizing	trainer	active	base spells	none	trap kit	trap triggers	hunter cc+aoe	automatic	feign chaining	hunter-census	implemented-unverified
Hunter	all	-	-	Pet call/mend/revive/feed/dismiss + Bestial Wrath	trainer	active	base spells	pet	pet kit	pet triggers	hunter pet	automatic	attack/recall missing (follow-up)	hunter-census	implemented-unverified
Warlock	all	-	-	Shadow Bolt / Immolate / Corruption / CoA / Siphon	trainer	active	base spells	none	dot kit	dot triggers	warlock combat	automatic	#92 ordering preserved	batch8	implemented-unverified
Warlock	all	-	-	Life Tap / Drain Life / Drain Soul / Dark Pact	trainer	active	base spells	health/shards	life tap / drains / pact	health triggers	warlock combat	automatic	#92 floor preserved	batch8	implemented-unverified
Warlock	all	-	-	Pet summon/sacrifice/Soul Link / Spell Lock / stones	trainer+talent	active	base spells	pet	pet kit	pet triggers	warlock pet	automatic	sacrifice policy follow-up	batch8	implemented-unverified
Warlock	all	-	-	Fear / Banish / Howl / Death Coil / Shadowburn	trainer	active	base spells	none	control + execute	cc triggers	warlock cc+combat	automatic	CC pull-risk documented	batch8	implemented-unverified
Warlock	Destruction	-	-	Conflagrate / Shadowburn / Searing Pain	trainer	active	spell_warlock conflagrate	unverified	none/conflagrate	conflagrate trigger	destruction combat	automatic/partial	partial-duration policy follow-up	warlock-census	implemented-unverified
Paladin	all	-	-	Seals x5 + Judgements	trainer	active	base spells	seal active	seal/judgement cycle	seal + judgement triggers	paladin combat	automatic	vengeance correctly absent	batch9	implemented-unverified
Paladin	all	-	-	Auras x8 + Blessings x6+greaters	trainer	active	base spells	none	aura/blessing kit	situation strategies	paladin buff	automatic/manual	dedup + role pickers	batch9	implemented-unverified
Paladin	all	-	-	Holy Light / Flash of Light / Lay on Hands / Redemption	trainer	active	base spells	healer role	heal kit	health triggers	paladin heal	automatic	Forbearance respected	batch9	implemented-unverified
Paladin	all	-	-	HoJ / Repentance / Cleanse / Divine Shield	trainer	active	spell_paladin repent ranks	none	control + cure	cc triggers	paladin cc+cure	automatic	resist→repent fallback	batch9	implemented-unverified
Paladin	Holy	-	-	Holy Shock + Divine Favor + Daybreak	trainer+talent	active	spell_paladin dual branching	none	HS pair + favor + daybreak	heal triggers	paladin heal+boost	automatic	Daybreak consumes HL/FoL/HS on party; caller discipline open	batch9/19	implemented-unverified
Paladin	Ret	-	-	Crusader Strike / Exorcism / Hammer of Wrath	trainer	active	0.20 coeff + ppm	none	ret kit	cd triggers	ret combat	automatic	Art of War→exorcism	batch9	implemented-unverified
Druid	all	-	-	Wrath / Starfire / Moonfire / Insect Swarm	trainer	active	base spells	none	balance kit	eclipse triggers	balance combat	automatic	eclipse HIGH+3 verified	batch10	implemented-unverified
Druid	Bear	-	-	Mangle(bear) / Maul / Swipe / Growl / Frenzied Regen	trainer	active	base spells	bear form	threat + mitigation	combat triggers	bear combat	automatic	pre-existing	batch10	implemented-unverified
Druid	Cat	-	-	Shred / Rip / Rake / Ferocious Bite / Cower / Pounce	trainer	active	base spells	cat form	generators + finishers	combo triggers	cat combat	automatic	positional fallback	batch10	implemented-unverified
Druid	all	-	-	Rejuvenation / Regrowth / Healing Touch / Innervate / Rebirth	trainer	active	base spells	caster form	heal kit	health triggers	resto combat	automatic	form-exit nodes	batch10	implemented-unverified
Druid	all	-	-	Tranquility / Nature Swiftness / Mark / Thorns / Roots	trainer	active	base spells	none	utility kit	aoe/boost triggers	druid mixed	automatic	pre-existing	batch10	implemented-unverified
Shaman	all	-	-	Lightning Bolt / Chain Lightning / Shocks	trainer	active	base spells	none	filler + shock	shock triggers	elemental combat	automatic	shock reserve follow-up	batch11	implemented-unverified
Shaman	Enhancement	-	-	Stormstrike / Windfury / imbues	trainer	active	base spells	melee	enh kit	melee triggers	enhancement combat	automatic	imbue pairing follow-up	batch11	implemented-unverified
Shaman	Restoration	-	-	Healing/Lesser Wave / Chain Heal / Earth Shield	trainer	active	base spells	healer role	heal kit	health triggers	resto combat	automatic	AS pairing batch11	batch11	implemented-unverified
Hunter	all	45650	1	Aspect of the Wolf	trainer	active	template row, melee AP	none	aspect of the wolf	none	none	situational-manual	auto-maintain would oscillate vs Hawk upkeep; arbitration follow-up	batch17	implemented-unverified
Hunter	all	45651	1	Aspect of the Viper	trainer	active	template row, mana regen	none	aspect of the viper	none	none	situational-manual	same oscillation constraint as Wolf	batch21	implemented-unverified
Shaman	all	-	-	Totems 4 slots + Purge / Cures / Ghost Wolf / Reincarnation	trainer	active	base spells	none	totem kit	slot triggers	totems strategy	automatic	owner-aware; audit follow-ups	batch11	implemented-unverified
